codigo,cuenta,tipo
2.2.2.2,"Documentos por Pagar",Agrupador
2.2.2.2.1,"Documento por Pagar Proveedores No Corriente",Documento por Pagar No Corriente
2.2.2.2.2,"Documentos por Pagar Proveedores Exterior No Corriente",Documento por Pagar del Exterior No Corriente
2.2.3,"Obligaciones con Instituciones Financieras",Agrupador
2.2.3.1,"Obligaciones con Instituciones Financieras Locales No Corrientes",Obligaciones con Instituciones Financieras locales No Corrientes
2.2.3.2,"Obligaciones con Instituciones Financieras del Exterior No Corriente",Obligaciones con Instituciones Financieras del Exterior No Corriente
2.2.4,"Cuenta por Pagar Diversas/Relacionadas",Agrupador
2.2.4.1,"Cuenta por Pagar Socios o Accionistas No Corrientes",Cuenta por Pagar Relacionadas No Corriente
2.2.4.2,"Cuenta por Pagar Funcionarios y/o Empleados No Corriente",Cuenta por Pagar Relacionadas No Corriente
2.2.4.3,"Cuenta por Pagar Compañias Relacionadas No Corriente",Cuenta por Pagar Relacionadas No Corriente
2.2.4.4,"Cuenta por Pagar Compañías Relacionadas del Exterior No Corriente",Cuenta por Pagar Compañías Relacionadas del Ext No Corriente
2.2.5,"Obligaciones Emitidas",Obligaciones Emitidas No Corrientes
2.2.6,"Anticipos de Clientes",Anticipos de Clientes No Corrientes
2.2.7,"Provisiones por Beneficios a Empleados",Agrupador
2.2.7.1,"Jubilación Patronal",Obligaciones por Beneficios de Ley No Corrientes
2.2.7.2,"Otros Beneficios No Corrientes Para los Empleados",Otros Beneficios para los Empleados No Corrientes
2.2.8,"Pasivo Diferido",Agrupador
2.2.8.1,"Ingresos Diferidos",Pasivos por Ingresos Diferidos
2.2.8.2,"Pasivos por Impuestos Diferidos",Pasivos por Impuestos Diferidos
2.2.9,"Otros Pasivos No Corrientes",Otros Pasivos No Corrientes
3,"Patrimonio",Agrupador
3.1,"Patrimonio Atribuible a Propietarios",Agrupador
3.1.1,"Capital Social",Agrupador
3.1.1.1,"Capital Social suscrito o pagado",Capital Social Suscrito o Pagado
3.1.1.2,"(-) Capital suscrito no pagado, acciones en tesorería",(-) Capital Suscrito no Pagado, Acciones en Tesorería
3.1.2,"Aportes de Socios o Accionistas para Futura Capitalización",Aportes de Socios o Accionistas para Futura Capitalización
3.1.3,"Prima por Emisión Primaria de Acciones",Prima por emisión Primaria de Acciones
3.1.4,"Reservas",Agrupador
3.1.4.1,"Legal",Legal
3.1.4.2,"Facultativa y Estatutaria",Facultativa y Estatuaria
3.1.4.3,"Reserva de Capital",Reserva de Capital
3.1.5,"Otros Resultados Integrales",Agrupador
3.1.5.1,"Superávit por Valuación de Activos Financieros",Superávit por Valuación de Activos Financieros
3.1.5.2,"Superávit por Revaluación de Propiedad, Plantas y Equipos",Superávit por Revaluación de Propiedad, Plantas y Equipos
3.1.5.3,"Superávit por Valuación de Activos Intagibles",Superávit por Revaluacion de Activos Intangibles
3.1.5.4,"Otros Superávit por Revaluación",Otros Superávit por Revaluacion
3.1.6,"Resultados Acumulados",Agrupador
3.1.6.1,"Resultados Acumulados",Ganancias Acumuladas
3.1.6.2,"Resultados provenientes de la adopción por 1era vez del las NIIF",Resultados provenientes de la adopción por 1era vez del las NIIF
3.1.7,"Resultado del Ejercicio",Agrupador
3.1.7.1,"Resultado del Ejercicio",Ganancia neta el Ejercicio
3.2,"Participación No Controladas",Agrupador
3.2.1,"Participación No Controladas",Participación No Controladas
4,"Ingresos",Agrupador
4.1,"Ingresos de Actividades Ordinarias",Agrupador
4.1.1,"Venta de Bienes",Ingresos por Ventas de Bienes
4.1.2,"Prestación de Servicios",Ingresos por Prestación de Servicios
4.1.2.1,"Sesión de terapia individual",Ingresos por Prestación de Servicios
4.1.2.2,"Servicios Profesionales en Psicoterapia",Ingresos por Prestación de Servicios
4.1.2.3,"Programa de atención Psicológica",Ingresos por Prestación de Servicios
4.1.3,"Devoluciones sobre Ventas",Devoluciones sobre Ventas
4.1.4,"Rebaja y/o Descuentos sobre Ventas",Rebaja y/o Descuentos sobre Ventas
4.1.5,"Ingresos por Regalías Cuotas y Comisiones",Ingresos por Regalías,  Cuotas y Comisiones
4.1.6,"Ingresos por Contratos de Intermediación",Ingresos por Contratos de Intermediación
4.1.7,"Ingresos por Primas y Prestaciones",Ingresos Primas y Prestaciones
4.1.8,"Contratos de Construcción",Contratos de Construcción
4.1.9,"Subvenciones del Gobierno",Subvenciones de Gobierno
4.1.10,"Ingresos por Dividendos",Ingresos por Dividendos
4.1.11,"Otros Ingresos de Actividades Ordinarias",Otros Ingresos de Actividades Ordinarias
4.2,"Otros Ingresos de Actividades Ordinarias",Agrupador
4.2.1,"Fletes",Fletes de Actividades Ordinarias
4.2.2,"Multas",Multas de Actividades Ordinarias
4.2.3,"Intereses",Intereses de Actividades Ordinarias
4.2.4,"Propinas (No Gravables)",Propinas de Actividades Ordinarias No Gravables
4.2.5,"Ingreso venta de equipos de computo KG",Otros Ingresos de Actividades Ordinarias
4.3,"Otros Ingresos Financieros",Agrupador
4.3.1,"Dividendos Financieros",Dividendos Financieros
4.3.2,"Intereses Financieros",Intereses Financieros
4.3.3,"Ganancia de Asociadas y Negocios Conjuntos",Ganancia de Asociadas y Negocios Conjuntos
4.3.4,"Valuación de Instrumentos Financieros",Valuación de Instrumentos Financieros
4.3.5,"Otras Rentas",Otras Rentas
4.4,"Ingresos por Operaciones Discontinuadas",Ingresos por Operaciones discontinuadas
5,"Costos y Gastos",Agrupador
5.1,"Costos de Venta y Producción",Agrupador
5.1.1,"Materiales Utilizados o Productos Vendidos",Agrupador
5.1.1.1,"Bienes No Producidos",Bienes No Producidos
5.1.1.2,"Bienes No Producidos Importados",Bienes No Producidos Importados
5.1.1.3,"Materia Prima",Materia Prima - Costo de Venta
5.1.1.4,"Materia Prima Importada",Materia Prima Importada - Costo de Venta
5.1.1.5,"Productos en Proceso",Productos en Proceso - Costo de Venta
5.1.1.6,"Productos Terminados",Productos Terminados - Costo de Venta
5.1.2,"Mano de Obra Directa",Agrupador
5.1.2.1,"Sueldos Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.2,"Sobretiempos Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.3,"Décimo Tercer Sueldo Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.4,"Decimo Cuarto Sueldo Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.5,"Vacaciones Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.6,"Aportes Patronales al I.E.S.S. Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.7,"Secap - Iece Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.8,"Fondos de Reserva Mano de Obra Directa",Sueldos y Beneficios Sociales - Directa
5.1.2.9,"Gastos Planes de Beneficios a Empleados Mano de Obra Directa",Gastos Planes de Beneficios a Empleados - Directa
5.1.3,"Mano de Obra Indirecta",Agrupador
5.1.3.1,"Sueldos Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.2,"Sobretiempos Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.3,"Décimo Tercer Sueldo Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.4,"Décimo Cuarto Sueldo Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.5,"Vacaciones Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.6,"Aportes Patronales al I.E.S.S. Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.7,"Secap - Iece Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.8,"Fondos de Reserva Mano de Obra Indirecta",Sueldos y Beneficios Sociales - Indirecta
5.1.3.9,"Gastos Planes de Beneficios a Empleados - Indirecta",Gastos Planes de Beneficios a Empleados - Indirecta
5.1.4,"Costos Indirectos de Fabricación",Agrupador
5.1.4.1,"Depreciación Propiedades, Plantas y Equipos",Depreciación Propiedades, Plantas y Equipos
5.1.4.2,"Depreciación de Activos Biológicos",Depreciación de Activos Biológicos
5.1.4.3,"Deterioro de Propiedad, Planta y Equipo",Deterioro de Propiedad, Planta y Equipo
5.1.4.4,"Efecto valor neto de realización de Inventarios",Efecto valor neto de realización de Inventarios
5.1.4.5,"Gasto por Garantías en Venta de Productos o Servicios",Gasto por Garantías en Venta de Productos o Servicios
5.1.4.6,"Mantenimiento y Reparaciones Costos",Mantenimiento y Reparaciones Costos
5.1.4.7,"Suministros, Materiales y Repuestos Costos",Suministros, Materiales y Repuestos Costos
5.1.4.8,"Otros Costos de Producción",Otros Costos de Producción
5.2,"Gastos",Agrupador
5.2.1,"Gastos de Actividades Ordinarias",Agrupador
5.2.1.1,"Ventas",Agrupador
5.2.1.1.1,"Sueldos Unificados Vtas.",Sueldos y Beneficios Sociales
5.2.1.1.2,"Sobretiempos Vtas.",Sueldos, Salarios y demás Remuneraciones Vtas
5.2.1.1.3,"Gratificaciones Vtas.",Sueldos, Salarios y demás Remuneraciones Vtas
5.2.1.1.4,"Alimentación Vtas.",Sueldos, Salarios y demás Remuneraciones Vtas
5.2.1.1.5,"Aportes Patronales al IESS Vtas.",Aportes a la Seguridad Social Vtas
5.2.1.1.6,"Secap - Iece Vtas.",Aportes a la Seguridad Social Vtas
5.2.1.1.7,"Fondos de Reserva Vtas.",Aportes a la Seguridad Social Vtas
5.2.1.1.8,"Décimo Tercer Sueldo Vtas.",Beneficios Sociales e Indemnizaciones Vtas
5.2.1.1.9,"Décimo Cuarto Sueldo Vtas.",Beneficios Sociales e Indemnizaciones Vtas
5.2.1.1.10,"Vacaciones Vtas.",Beneficios Sociales e Indemnizaciones Vtas
5.2.1.1.11,"Desahucio Vtas.",Beneficios Sociales e Indemnizaciones Vtas
5.2.1.1.12,"Gastos Planes de Beneficios a Empleados Vtas",Gastos Planes de Beneficios a Empleados Vtas
5.2.1.1.13,"Honorarios Profesionales Psicoterapia Vtas.",Gastos Honorarios, Comisiones y Dietas a PN Vtas
5.2.1.1.14,"Honorarios Profesionales Psicoterapia Sc Vtas.",Gastos Honorarios, Comisiones y Dietas a PN Vtas
5.2.1.1.15,"Gastos Remuneraciones a otros trabajadores autónomos Vtas",Gastos Remuneraciones a otros trabajadores autónomos Vtas
5.2.1.1.16,"Gastos Honorarios a extranjeros por Servicios Ocasionales Vtas",Gastos Honorarios a extranjeros por Servicios Ocasionales Vtas
5.2.1.1.17,"Mantenimiento de Local",Gastos de Mantenimiento, Repuestos y Reparaciones Vtas
5.2.1.1.18,"Reparaciones de Equipos Vtas.",Gastos de Mantenimiento, Repuestos y Reparaciones Vtas
5.2.1.1.19,"Arriendos Vtas",Gastos Arrendamiento Operativo Vtas
