codigo,cuenta,tipo
5.2.1.1.20,"Comisiones Vtas",Comisiones Vtas
5.2.1.1.21,"Publicidad y Promoción Vtas.",Gastos Promociones y Publicidad Vtas
5.2.1.1.22,"Publicaciones y Agencias Vtas.",Gastos Promociones y Publicidad Vtas
5.2.1.1.23,"Combustible Vtas.",Gastos Combustibles Vtas
5.2.1.1.24,"Lubricantes Vtas.",Gastos Lubricantes Vtas
5.2.1.1.25,"Seguros Vtas.",Gastos Seguros y Reaseguros Vtas
5.2.1.1.26,"Movilización y Transporte Vtas.",Gastos Transporte Vtas
5.2.1.1.27,"Guías de Transportes Vtas.",Gastos Transporte Vtas
5.2.1.1.28,"Fletes Vtas.",Gastos Transporte Vtas
5.2.1.1.29,"Gastos de Gestión Vtas.",Gastos de Gestión Vtas
5.2.1.1.30,"Viajes Vtas.",Gastos de Viajes Vtas
5.2.1.1.31,"Viajes al Exterior Vtas.",Gastos de Viajes Vtas
5.2.1.1.32,"Pasajes Aereos Vtas.",Gastos de Viajes Vtas
5.2.1.1.33,"Energía Eléctrica Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.34,"Teléfonos Convencionales Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.35,"Celulares Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.36,"Internet Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.37,"Agua Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.38,"Televisión Pagada Vtas.",Agua, Energia, Luz y Telecomunicaciones Vtas
5.2.1.1.39,"Gastos Notariales Vtas.",Gastos Notarios y Registradores de la Propiedad Vtas
5.2.1.1.40,"Gastos de Registro Mercantil Vtas.",Gastos Notarios y Registradores de la Propiedad Vtas
5.2.1.1.41,"Impuesto a los Consumos Especiales Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.42,"Impuesto a Consumos Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.43,"Tasas y Contribuciones Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.44,"Contribuciones a Superintendencia de Compañías Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.45,"IVA Gasto Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.46,"Depreciaciones Propiedades Planta y Equipos Vtas.",Gastos Impuestos, Contribuciones y Otros Vtas
5.2.1.1.47,"Depreciaciones de Inversiones Vtas.",Gastos por Depreciación Propiedades de Inversión Vtas
5.2.1.1.48,"Amortizaciones Intangibles Vtas.",Gastos por Amortizaciones Intangibles Vtas
5.2.1.1.49,"Amortizaciones Otros Activos Vtas.",Gastos por Amortizaciones Otros Activos Vtas
5.2.1.1.50,"Gastos por Deterioro Propiedades Planta y Equipos Vtas",Gastos por Deterioro Propiedades, Plantas y Equipos Vtas
5.2.1.1.51,"Gastos de Deterioro Inventario Vtas",Gastos por Deterioro Inventario Vtas
5.2.1.1.52,"Gastos por Deterioro Instrumentos Financieros Vtas",Gastos por Deterioro Instrumentos Financieros Vtas
5.2.1.1.53,"Gastos por Deterioro Intangibles Vtas.",Gastos por Deterioro Intangibles Vtas
5.2.1.1.54,"Gastos por Deterioro Cuentas por Cobrar Vtas",Gastos por Deterioro Cuentas por Cobrar Vtas
5.2.1.1.55,"Gastos por Deterioro Otros Activos Vtas.",Gastos por Deterioro Otros Activos Vtas
5.2.1.1.56,"Gastos Anormales Mano de Obra Vtas.",Gastos Anormales Mano de Obra Vtas
5.2.1.1.57,"Gastos Anormales Materiales Vtas.",Gastos Anormales Materiales Vtas
5.2.1.1.58,"Gastos Anormales Costos de Produccion Vtas",Gastos Anormales Costos de Producción Vtas
5.2.1.1.59,"Gastos por Restructuracion Vtas",Gastos por Reestructuracion Vtas
5.2.1.1.60,"Gastos por Valor Neto de realizacion de Inventarios Vtas",Gastos por Valor Neto de realizacion Inventario Vtas
5.2.1.1.61,"Asociaciones y Suscripciones Vtas.",Otros Gastos Vtas
5.2.1.1.62,"Cuotas y Afiliaciones Vtas.",Otros Gastos Vtas
5.2.1.1.63,"Gastos de Oficina Vtas",Otros Gastos Vtas
5.2.1.1.64,"Capacitación y Entrenamiento Vtas.",Otros Gastos Vtas
5.2.1.1.65,"Uniformes Vtas.",Otros Gastos Vtas
5.2.1.1.66,"Miscelaneos Vtas.",Otros Gastos Vtas
5.2.1.2,"Administrativos",Agrupador
5.2.1.2.1,"Sueldos Unificados Adm.",Sueldos, Salarios y demás Remuneraciones Adm.
5.2.1.2.2,"Sobretiempos Adm.",Sueldos, Salarios y demás Remuneraciones Adm.
5.2.1.2.3,"Gratificaciones Adm.",Sueldos, Salarios y demás Remuneraciones Adm.
5.2.1.2.4,"Alimentación Adm.",Sueldos, Salarios y demás Remuneraciones Adm.
5.2.1.2.5,"Aportes Patronales al IESS Adm.",Aportes a la Seguridad Social Adm.
5.2.1.2.6,"Secap - Iece Adm.",Aportes a la Seguridad Social Adm.
5.2.1.2.7,"Fondos de Reserva Adm.",Aportes a la Seguridad Social Adm.
5.2.1.2.8,"Décimo Tercer Sueldo Adm.",Beneficios Sociales e Indemnizaciones Adm
5.2.1.2.9,"Décimo Cuarto Sueldo Adm.",Beneficios Sociales e Indemnizaciones Adm
5.2.1.2.10,"Vacaciones Adm.",Beneficios Sociales e Indemnizaciones Adm
5.2.1.2.11,"Desahucio Adm.",Beneficios Sociales e Indemnizaciones Adm
5.2.1.2.12,"Gastos Planes de Beneficios a Empleados Adm.",Gastos Planes de Beneficios a Empleados Adm
5.2.1.2.13,"Honorarios Profesionales Contabilidad Adm.",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.14,"Servicios Contratados Adm.",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.14.1,"Firma Electrónica",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.14.2,"Sistema contable-contífico",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.14.3,"Servicios Administrativos",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.14.4,"Datafast",Gastos Honorarios, Comisiones y Dietas a PN Adm
5.2.1.2.15,"Gastos Remuneraciones a otros trabajadores autónomos Adm.",Gastos Remuneraciones a otros trabajadores autónomos Adm
5.2.1.2.16,"Gastos Honorarios a extranjeros por Servicios Ocasionales Adm.",Gastos Honorarios a extranjeros por Servicios Ocasionales Adm
5.2.1.2.17,"Mantenimiento de Vehículos",Gastos de Mantenimiento, Repuestos y Reparaciones Adm
5.2.1.2.17.1,"Mantenimiento de vehículos",Gastos de Mantenimiento, Repuestos y Reparaciones Adm
5.2.1.2.18,"Reparaciones de Equipos Adm.",Gastos de Mantenimiento, Repuestos y Reparaciones Adm
5.2.1.2.19,"Arriendos Adm.",Gastos Arrendamiento Operativo Adm
5.2.1.2.20,"Comisiones Adm.",Comisiones Adm
5.2.1.2.21,"Publicidad y Promoción Adm.",Gastos Promoción y Publicidad Adm.
5.2.1.2.22,"Publicaciones y Agencias Adm.",Gastos Promoción y Publicidad Adm.
5.2.1.2.23,"Combustible Adm.",Gastos Combustibles Adm
5.2.1.2.24,"Lubricantes Adm.",Gastos Combustibles Adm
5.2.1.2.25,"Seguros Adm.",Gastos Seguros y Reaseguros Adm
5.2.1.2.26,"Movilización y Transporte Adm.",Gastos Transporte Adm
5.2.1.2.27,"Guías de Transportes Adm.",Gastos Transporte Adm
5.2.1.2.28,"Fletes Adm.",Gastos Transporte Adm
5.2.1.2.29,"Gastos de Gestión Adm.",Gastos de Gestión Adm
5.2.1.2.30,"Gastos de Viajes Adm.",Gastos de Viajes Adm
5.2.1.2.31,"Viajes al Exterior Adm.",Gastos de Viajes Adm
5.2.1.2.32,"Pasajes Aereos Adm.",Gastos de Viajes Adm
5.2.1.2.33,"Energía Eléctrica Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.34,"Teléfonos Convencionales Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.35,"Celulares Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.36,"Internet Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.37,"Agua Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.38,"Seguridad Adm.",Agua, Energia, Luz y Telecomunicaciones Adm
5.2.1.2.39,"Gastos Notariales Adm.",Gastos Notarios y Registradores de la Propiedad Adm
5.2.1.2.40,"Gastos de Registro Mercantil Adm.",Gastos Notarios y Registradores de la Propiedad Adm
5.2.1.2.41,"Impuesto a los Consumos Especiales Adm.",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.42,"Patente y el 1.5 por mil",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.43,"Tasas y Contribuciones Adm.",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.44,"Contribuciones a Superintendencia de Compañías Adm.",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.45,"IVA Gasto Adm.",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.46,"Depreciaciones Propiedades Planta y Equipos Adm.",Gastos Impuestos, Contribuciones y Otros Adm
5.2.1.2.47,"Depreciaciones de Inversiones Adm.",Gastos por Depreciación Propiedades de Inversión Adm
5.2.1.2.48,"Amortizaciones Intangibles Adm.",Gastos por Amortizaciones Intangibles Adm
5.2.1.2.49,"Amortizaciones Otros Activos Adm.",Gastos por Amortizaciones Otros Activos Adm
5.2.1.2.50,"Gastos por Deterioro Propiedades Planta y Equipos Adm.",Gastos por Deterioro Propiedades, Plantas y Equipos Adm
5.2.1.2.51,"Gastos de Deterioro Inventario Adm.",Gastos por Deterioro Inventario Adm
5.2.1.2.52,"Gastos por Deterioro Instrumentos Financieros Adm.",Gastos por Deterioro Instrumentos Financieros Adm
5.2.1.2.53,"Gastos por Deterioro Instrumentos Financieros Adm.",Gastos por Deterioro Instrumentos Financieros Adm
5.2.1.2.54,"Gastos por Deterioro Cuentas por Cobrar Adm.",Gastos por Deterioro Cuentas por Cobrar Adm
5.2.1.2.55,"Gastos por Deterioro Otros Activos Adm.",Gastos por Deterioro Otros Activos Adm
5.2.1.2.56,"Gastos Anormales Mano de Obra Adm.",Gastos Anormales Mano de Obra Adm
5.2.1.2.57,"Gastos Anormales Materiales Adm.",Gastos Anormales Materiales Adm
5.2.1.2.58,"Gastos Anormales Costos de Producción Adm.",Gastos Anormales Costos de Producción Adm
5.2.1.2.59,"Gastos por Restructuracion y Adecuaciones Adm.",Gastos por Reestructuracion Adm
5.2.1.2.60,"Gastos por Valor Neto de realizacion de Inventarios Adm.",Gastos por Valor Neto de realizacion Inventario Adm
5.2.1.2.61,"Hosting web",Otros Gastos Adm
5.2.1.2.62,"Cuotas y Afiliaciones Adm.",Otros Gastos Adm
5.2.1.2.63,"Gastos de Oficina Adm.",Otros Gastos Adm
5.2.1.2.64,"Capacitación y Entrenamiento Adm.",Otros Gastos Adm
5.2.1.2.65,"Gastos útiles de aseo",Otros Gastos Adm
5.2.1.2.66,"Miscelaneos Adm.",Otros Gastos Adm
5.2.1.2.67,"Gasto Equipos de computo KG",(-) Depreciación Acumulada Propiedades, Planta  y Equipo
5.2.1.3,"Gastos Financieros",Agrupador
5.2.1.3.1,"Intereses",Gastos Intereses
5.2.1.3.2,"Comisiones Bancarias",Gastos Comisiones
5.2.1.3.3,"Comisiones tarjetas",Gastos Comisiones
5.2.1.3.4,"Gastos Diferencia en Cambio",Gastos Diferencia en Cambio
5.2.1.3.5,"Otros Gastos Financieros",Otros Gastos Financieros
5.2.2,"Gastos No Operacionales",Agrupador
5.2.2.1,"Otros Gastos",Agrupador
5.2.2.1.1,"Gasto Impuesto a la Renta",Impuesto a la Renta por Pagar
5.2.2.1.2,"Intereses Tributarios",Otros Gastos No Deducibles
5.2.2.1.3,"Multas Tributarias",Otros Gastos No Deducibles
5.2.2.1.4,"Multas Superintendencia de Compañías",Otros Gastos No Deducibles
5.2.2.1.5,"Faltantes de Inventario",Otros Gastos No Deducibles
5.2.2.1.6,"Faltantes de Caja",Otros Gastos No Deducibles
5.2.2.1.7,"Comprobantes de Ventas que no cumplen requisitos legales",Otros Gastos No Deducibles
5.2.2.1.8,"Gastos de Viajes",Otros Gastos No Deducibles
5.2.2.1.9,"Gastos de Gestión",Otros Gastos No Deducibles
5.2.2.1.10,"Retenciones Asumidas",Otros Gastos No Deducibles
5.2.2.1.11,"Gastos por Cancelación de Propinas",Otros Gastos No Deducibles
5.2.3,"Gastos de Operaciones Descontinuadas",Agrupador
5.2.3.1,"Gastos de Operaciones Descontinuadas",Gastos de Operaciones Descontinuadas
